Vehicle ID,User ID,Password,Source,Destination,Service Type,Role
90965013,user_436,9fFip7FtPJ,CityA,CityC,RSU,read
48660521,user_470,XBLc2FfY2y,CityC,CityB,RSU,write
27841683,user_215,W6y9QmunDH,CityC,CityB,RSU,write
16441702,user_954,wLg9oHI6cq,CityC,CityA,RSU,read
38987075,user_867,aMoOExGWZJ,CityB,CityA,RSU,read
94264051,user_314,u0svWC3xuo,CityB,CityA,RSU,read
45846163,user_372,cXHM2qo6N3,CityC,CityA,RSU,write
76701577,user_320,I9pZqTS2KZ,CityC,CityA,RSU,write
18978853,user_493,UiETLIoUDA,CityC,CityA,RSU,read
61472068,user_507,gQutBUFYrX,CityC,CityB,RSU,write
21799777,user_762,qfjPI9hRDl,CityB,CityA,RSU,read
02348163,user_382,H8PIE2uxXy,CityB,CityA,RSU,read
64468768,user_484,U82qW7Qu4s,CityC,CityA,RSU,write
54618363,user_920,8Thgevk6ZF,CityA,CityC,RSU,write
72512389,user_825,ew46IPrkGu,CityC,CityB,RSU,write
92881130,user_219,GEZ1QyPH2x,CityC,CityB,RSU,write
04565475,user_740,HfyDFE2Q5s,CityB,CityC,RSU,read
57439740,user_514,tDMS59l0yn,CityC,CityA,RSU,write
74536601,user_751,ZpquRzT27D,CityB,CityA,RSU,write
63724937,user_923,tr33Cj7m07,CityC,CityB,RSU,write
44901429,user_41,shpogEqWTo,CityB,CityC,RSU,write
82398612,user_736,1ULDnalP5t,CityA,CityB,RSU,write
50852728,user_358,FnkdsHnn9m,CityA,CityC,RSU,write
44669618,user_995,zqrz1Tqgkm,CityB,CityA,RSU,read
30667409,user_174,NKP76NIi6a,CityB,CityC,RSU,read
86662347,user_398,Rwvxstcpsa,CityA,CityC,RSU,read
66855361,user_623,I2Dvr8WxAq,CityB,CityA,RSU,read
33655095,user_472,DiNJ4SdwwN,CityB,CityA,RSU,write
46346433,user_840,IqVdRRnKyc,CityA,CityC,RSU,write
90235777,user_202,AXg4BfWV6k,CityC,CityA,RSU,read
14758797,user_903,p8F8KoyleN,CityA,CityC,RSU,read
70633007,user_838,aaA0R3iyFB,CityB,CityC,RSU,write
79010697,user_310,stgE6yW2PA,CityC,CityA,RSU,read
99543189,user_427,HinUuseO9W,CityB,CityC,RSU,write
96619544,user_984,uKqOavVxTW,CityC,CityB,RSU,write
20001243,user_626,PEAyzBBUrt,CityB,CityA,RSU,read
68543082,user_351,L6Yo2pplBZ,CityB,CityA,RSU,write
05959596,user_393,rLlaVrKd5W,CityC,CityB,RSU,read
23606100,user_283,e5E1Pl86uM,CityB,CityC,RSU,write
99287069,user_161,SSugCgaCYa,CityB,CityC,RSU,read
72397016,user_104,zYNlLB8Qqm,CityB,CityA,RSU,write
78880223,user_156,fNJrBHJ3uc,CityB,CityC,RSU,write
39381161,user_165,7x8rPPSkCD,CityA,CityC,RSU,write
02381119,user_650,E1bpfdyQRx,CityA,CityC,RSU,write
17861339,user_343,cRiQhEwEjN,CityC,CityA,RSU,read
16114494,user_275,c8yTHh6wex,CityB,CityA,RSU,read
07337336,user_818,7zbaNINKMy,CityC,CityB,RSU,write
47960463,user_277,X1dCwTzC4D,CityA,CityC,RSU,read
13964825,user_453,1BzI37Q4zU,CityA,CityB,RSU,write
07056828,user_976,vsj1yoCHNx,CityC,CityA,RSU,read
24084461,user_634,peQ6cUDhZG,CityC,CityA,RSU,read
90816252,user_706,THpKcKISan,CityC,CityB,RSU,write
14415544,user_666,v7W70j6iiC,CityB,CityC,RSU,write
45384083,user_470,5C480QP0Sg,CityB,CityA,RSU,read
54037316,user_442,v5WGrQIHIL,CityC,CityB,RSU,write
82159251,user_544,hpCylWcJMM,CityC,CityA,RSU,write
